,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
0,60002,ZCTA5 60002,24217,76694,22261,540,0.4109,68.2,5.6,7.3
1,60004,ZCTA5 60004,50941,90000,43436,508,0.4213,67.4,4.1,2.5
2,60005,ZCTA5 60005,30148,78053,25015,843,0.4696,68.2,9.0,4.0
3,60007,ZCTA5 60007,33691,73026,27540,338,0.3977,68.5,6.7,3.7
4,60008,ZCTA5 60008,21930,63358,15339,978,0.4119,68.6,5.6,6.8
5,60010,ZCTA5 60010,45680,130748,38983,359,0.4845,61.4,5.0,2.6
6,60012,ZCTA5 60012,10653,128844,10155,45,0.3968,70.4,2.6,1.7
7,60013,ZCTA5 60013,26166,98459,24364,455,0.3848,72.5,1.6,5.2
8,60014,ZCTA5 60014,48553,84478,45250,683,0.4032,71.4,3.7,4.2
9,60015,ZCTA5 60015,27357,141268,24752,241,0.4649,68.4,4.1,2.8
10,60016,ZCTA5 60016,59255,63829,38454,2544,0.4140,67.6,5.0,7.3
11,60018,ZCTA5 60018,30955,59758,22678,661,0.4151,67.0,6.2,11.3
12,60020,ZCTA5 60020,9761,54026,9225,112,0.4336,64.2,7.8,5.8
13,60021,ZCTA5 60021,5547,101182,4884,0,0.4366,73.6,10.4,2.4
14,60022,ZCTA5 60022,8563,204118,7995,162,0.5236,62.8,0.0,1.0
15,60025,ZCTA5 60025,41054,92410,34002,531,0.5016,61.9,7.3,4.1
16,60026,ZCTA5 60026,14297,106283,10656,164,0.5358,55.9,3.5,2.8
17,60029,ZCTA5 60029,521,167813,473,2,0.3687,65.9,4.8,1.6
18,60030,ZCTA5 60030,37185,83680,32128,929,0.4110,69.6,2.7,3.7
19,60031,ZCTA5 60031,37525,87828,28018,2675,0.4153,72.4,4.8,5.0
20,60033,ZCTA5 60033,13596,56329,12723,20,0.3837,69.0,11.3,10.9
21,60034,ZCTA5 60034,2084,59732,1914,23,0.4206,65.9,3.5,8.5
22,60035,ZCTA5 60035,29803,137413,27482,440,0.5314,63.0,3.9,4.6
23,60040,ZCTA5 60040,5375,55427,4550,138,0.5588,68.1,0.0,14.6
24,60041,ZCTA5 60041,8772,61023,8212,31,0.3700,69.5,5.7,5.7
25,60042,ZCTA5 60042,8390,73257,7875,49,0.3447,74.6,5.6,6.1
26,60043,ZCTA5 60043,2547,203750,2384,16,0.4971,54.2,45.7,3.5
27,60044,ZCTA5 60044,9849,105331,8556,124,0.4868,65.4,5.9,2.2
28,60045,ZCTA5 60045,20807,176108,18684,336,0.5165,56.9,3.1,2.0
29,60046,ZCTA5 60046,34918,89592,31288,653,0.3681,71.5,6.4,2.0
30,60047,ZCTA5 60047,42598,132803,36006,698,0.4202,72.2,4.0,2.2
31,60048,ZCTA5 60048,29012,128657,26172,342,0.4491,65.4,4.5,1.1
32,60050,ZCTA5 60050,32797,66771,30822,203,0.4075,68.3,3.5,6.2
33,60051,ZCTA5 60051,23624,79741,22041,215,0.3698,72.6,3.1,4.7
34,60053,ZCTA5 60053,23391,79978,14761,794,0.4126,60.2,3.1,5.2
35,60056,ZCTA5 60056,55221,71064,42047,1325,0.4372,68.5,2.9,3.9
36,60060,ZCTA5 60060,37218,89214,29729,694,0.4113,71.2,4.0,5.4
37,60061,ZCTA5 60061,27013,98803,18697,814,0.4431,70.7,3.8,5.3
38,60062,ZCTA5 60062,40358,106197,33039,679,0.4918,55.8,3.2,3.4
39,60064,ZCTA5 60064,15816,34840,6031,6542,0.4699,62.9,11.5,23.0
40,60067,ZCTA5 60067,37817,97549,29455,753,0.4634,67.7,6.7,3.4
41,60068,ZCTA5 60068,37810,98219,34429,166,0.4576,64.2,4.2,2.9
42,60069,ZCTA5 60069,7987,101273,6964,83,0.4788,51.2,7.9,2.6
43,60070,ZCTA5 60070,16185,60970,10443,222,0.4462,66.8,3.7,8.2
44,60071,ZCTA5 60071,3592,58902,3293,49,0.4344,67.9,2.4,8.1
45,60072,ZCTA5 60072,979,113929,917,14,0.3366,75.6,7.6,1.0
46,60073,ZCTA5 60073,61774,68991,48512,3318,0.3637,72.2,3.6,8.2
47,60074,ZCTA5 60074,39812,66774,24338,970,0.4382,74.8,5.9,10.8
48,60076,ZCTA5 60076,32093,74964,18507,2636,0.4570,62.4,8.8,5.8
49,60077,ZCTA5 60077,28470,60381,17668,1228,0.4555,61.1,6.6,10.2
50,60081,ZCTA5 60081,9838,90917,9658,0,0.3807,69.2,2.7,5.8
51,60083,ZCTA5 60083,10413,92522,7273,1920,0.3839,68.9,5.3,2.2
52,60084,ZCTA5 60084,16832,77105,14450,96,0.4276,72.4,8.0,4.6
53,60085,ZCTA5 60085,71548,43370,41222,12867,0.4311,71.2,8.7,19.5
54,60087,ZCTA5 60087,26216,56920,16406,3479,0.3914,70.9,9.0,7.8
55,60088,ZCTA5 60088,12676,53333,9189,1643,0.3441,93.4,8.9,4.8
56,60089,ZCTA5 60089,41601,106630,30258,823,0.4173,72.4,6.2,3.2
57,60090,ZCTA5 60090,38309,62478,24447,1210,0.4177,73.2,5.7,8.7
58,60091,ZCTA5 60091,27335,148462,22860,156,0.5079,60.9,5.3,2.0
59,60093,ZCTA5 60093,19404,173919,17563,38,0.5434,58.3,7.8,3.6
60,60096,ZCTA5 60096,7009,83267,6506,105,0.3750,66.3,3.0,2.6
61,60097,ZCTA5 60097,10447,64688,10012,4,0.3823,68.9,3.6,3.8
62,60098,ZCTA5 60098,32941,63864,30156,902,0.4713,67.7,4.1,9.8
63,60099,ZCTA5 60099,30961,50652,19167,8162,0.4341,65.7,6.2,15.2
64,60101,ZCTA5 60101,39405,59411,30651,1387,0.4405,70.1,6.7,11.9
65,60102,ZCTA5 60102,32958,101946,28599,371,0.3632,73.3,4.1,2.9
66,60103,ZCTA5 60103,42409,100994,32468,578,0.3662,73.1,4.9,3.1
67,60104,ZCTA5 60104,19031,55471,3046,14413,0.4384,68.9,9.2,10.8
68,60106,ZCTA5 60106,20300,62604,15357,721,0.3862,71.3,5.1,9.3
69,60107,ZCTA5 60107,40967,80421,25029,1817,0.3578,72.2,6.2,4.9
70,60108,ZCTA5 60108,22851,79126,18423,808,0.4183,67.3,4.7,2.5
71,60109,ZCTA5 60109,635,74688,630,0,0.4757,76.7,0.0,7.6
72,60110,ZCTA5 60110,39380,61287,22332,3049,0.3940,72.7,3.9,14.9
73,60111,ZCTA5 60111,183,-,183,0,0.3758,35.0,0.0,12.8
74,60112,ZCTA5 60112,4416,65825,3864,312,0.3289,76.2,15.1,13.3
75,60113,ZCTA5 60113,353,56250,294,13,0.3297,69.2,0.0,2.2
76,60115,ZCTA5 60115,45644,41539,33484,6599,0.4841,67.1,5.1,18.4
77,60118,ZCTA5 60118,15831,86307,13760,205,0.4312,69.1,3.4,4.5
78,60119,ZCTA5 60119,10192,99923,9517,231,0.3955,75.1,4.2,2.0
79,60120,ZCTA5 60120,51244,55603,29039,2334,0.4053,70.5,6.2,12.1
80,60123,ZCTA5 60123,48177,59952,31119,4008,0.4244,69.2,7.1,10.4
