,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
0,10100,"Aberdeen, SD Micro Area",42608,54533,39040,631,0.4505,68.9,1.2,7.1
1,10140,"Aberdeen, WA Micro Area",71454,45483,62880,717,0.4403,52.0,8.6,10.1
2,10180,"Abilene, TX Metro Area",169000,48156,131890,13529,0.4612,60.1,3.3,11.5
3,10220,"Ada, OK Micro Area",38289,46689,26813,829,0.4434,60.3,5.5,11.9
4,10260,"Adjuntas, PR Micro Area",18525,11680,14396,120,0.5704,42.2,46.8,61.3
5,10300,"Adrian, MI Micro Area",98585,51339,91353,2649,0.4149,59.0,5.1,9.2
6,10380,"Aguadilla-Isabela, PR Metro Area",315100,15769,220100,9316,0.5194,40.1,19.2,49.6
7,10420,"Akron, OH Metro Area",703398,53418,575891,85030,0.4656,64.5,5.9,9.7
8,10460,"Alamogordo, NM Micro Area",65130,43533,50892,2199,0.4454,55.9,7.3,16.2
9,10500,"Albany, GA Metro Area",153776,40612,66431,81244,0.4825,58.2,8.0,20.9
10,10540,"Albany, OR Metro Area",121074,49515,111010,465,0.4260,58.2,7.3,11.3
11,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,65743,735020,68660,0.4430,65.0,4.8,6.9
12,10620,"Albemarle, NC Micro Area",60875,46017,51213,6784,0.4248,61.2,5.2,11.2
13,10660,"Albert Lea, MN Micro Area",30619,51174,28851,407,0.4159,64.6,2.6,8.0
14,10700,"Albertville, AL Micro Area",94738,41104,87765,2091,0.4816,55.7,4.7,15.8
15,10740,"Albuquerque, NM Metro Area",905049,50781,672071,23443,0.4641,61.2,6.0,13.4
16,10760,"Alexander City, AL Micro Area",40756,42181,28455,11216,0.4536,51.1,4.2,16.8
17,10780,"Alexandria, LA Metro Area",154385,42275,101858,45699,0.4753,54.9,4.9,15.7
18,10820,"Alexandria, MN Micro Area",36891,58667,35839,245,0.4440,66.0,2.5,4.3
19,10860,"Alice, TX Micro Area",41318,41103,39731,246,0.4879,55.7,3.8,17.5
20,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,62479,700165,46910,0.4428,64.6,5.2,8.1
21,10940,"Alma, MI Micro Area",41319,42256,37711,2388,0.4700,48.5,4.6,16.4
22,10980,"Alpena, MI Micro Area",28730,40954,27816,170,0.4296,56.6,6.9,9.9
23,11020,"Altoona, PA Metro Area",124736,45664,119348,1862,0.4439,58.7,4.1,11.0
24,11060,"Altus, OK Micro Area",25574,45189,17710,1861,0.4394,63.4,3.8,14.8
25,11100,"Amarillo, TX Metro Area",261827,53665,221660,15647,0.4593,65.4,2.0,11.4
26,11140,"Americus, GA Micro Area",35855,35189,16531,17533,0.4800,54.2,5.9,26.0
27,11180,"Ames, IA Metro Area",95888,52671,83487,1835,0.4677,66.0,3.0,4.5
28,11220,"Amsterdam, NY Micro Area",49500,47449,43680,887,0.4542,60.2,5.8,14.5
29,11260,"Anchorage, AK Metro Area",399360,80724,273964,17473,0.4184,70.8,5.2,5.6
30,11380,"Andrews, TX Micro Area",17577,70753,16134,367,0.4540,66.3,0.1,10.8
31,11420,"Angola, IN Micro Area",34459,52749,33515,82,0.3960,64.0,4.1,6.9
32,11460,"Ann Arbor, MI Metro Area",361509,65618,267225,42966,0.4785,64.8,5.0,7.0
33,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115527,43686,86136,23735,0.4629,56.9,7.6,14.9
34,11540,"Appleton, WI Metro Area",233025,63415,211909,2717,0.4055,71.1,2.4,5.9
35,11580,"Arcadia, FL Micro Area",35675,35435,29791,4572,0.4486,46.0,7.9,20.9
36,11620,"Ardmore, OK Micro Area",48407,47754,35899,3080,0.4669,58.6,2.9,11.8
37,11640,"Arecibo, PR Metro Area",188012,17298,162104,5955,0.5185,38.6,13.9,44.9
38,11660,"Arkadelphia, AR Micro Area",22495,37144,16186,5368,0.4510,57.6,1.9,14.5
39,11680,"Arkansas City-Winfield, KS Micro Area",35732,46624,31510,1077,0.4282,58.4,4.7,11.1
40,11700,"Asheville, NC Metro Area",445625,48159,403661,20761,0.4554,59.0,4.3,9.0
41,11740,"Ashland, OH Micro Area",53299,50893,51640,421,0.4108,61.6,2.4,9.4
42,11780,"Ashtabula, OH Micro Area",98622,43017,91628,3607,0.4335,54.7,4.9,14.2
43,11820,"Astoria, OR Micro Area",38021,49828,34512,295,0.4209,60.0,4.8,7.1
44,11860,"Atchison, KS Micro Area",16466,46640,14922,510,0.4919,63.4,7.6,13.5
45,11900,"Athens, OH Micro Area",65563,37191,59620,1691,0.5086,52.7,10.0,17.3
46,11940,"Athens, TN Micro Area",52569,39990,48627,1875,0.4538,53.5,6.4,16.1
47,11980,"Athens, TX Micro Area",79687,44888,71083,5466,0.4615,51.4,5.7,13.2
48,12020,"Athens-Clarke County, GA Metro Area",202780,42418,146061,40840,0.5089,60.3,5.0,15.1
49,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5700990,61733,3112830,1920782,0.4723,67.0,6.7,10.4
50,12100,"Atlantic City-Hammonton, NJ Metro Area",272926,57514,182673,41259,0.4631,65.2,9.4,12.1
51,12120,"Atmore, AL Micro Area",37621,35026,23087,12128,0.4844,46.6,9.9,17.9
52,12140,"Auburn, IN Micro Area",42524,51374,41354,126,0.4183,66.3,2.3,9.0
53,12180,"Auburn, NY Micro Area",78319,54664,72040,3192,0.4267,61.2,3.2,8.4
54,12220,"Auburn-Opelika, AL Metro Area",156597,47564,109481,36139,0.5008,60.6,3.7,13.3
55,12260,"Augusta-Richmond County, GA-SC Metro Area",589519,49064,345479,209658,0.4664,59.3,6.5,14.2
56,12300,"Augusta-Waterville, ME Micro Area",121289,50116,116339,1088,0.4289,61.9,3.8,8.9
57,12380,"Austin, MN Micro Area",39386,53700,35570,1351,0.4508,65.5,3.2,7.9
58,12420,"Austin-Round Rock, TX Metro Area",2000590,69717,1554967,145243,0.4625,70.3,4.2,7.9
59,12460,"Bainbridge, GA Micro Area",27023,36934,14159,11382,0.5121,50.4,3.4,21.0
