GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60002,60002,ZCTA5 60002,24217,322,22261,481,540,280,0,20,337,165,0,20,460,205,619,242,24,36,595,245
8600000US60004,60004,ZCTA5 60004,50941,871,43436,1028,508,167,29,24,4497,529,26,31,1532,521,913,281,130,124,783,263
8600000US60005,60005,ZCTA5 60005,30148,977,25015,1101,843,394,53,75,2665,469,0,23,942,434,630,269,226,198,404,194
8600000US60007,60007,ZCTA5 60007,33691,191,27540,836,338,151,20,31,3725,583,30,48,1182,481,856,298,276,222,580,236
8600000US60008,60008,ZCTA5 60008,21930,566,15339,998,978,414,93,104,1794,429,118,154,3245,898,363,204,16,17,347,202
8600000US60010,60010,ZCTA5 60010,45680,770,38983,1004,359,138,24,19,5180,556,0,23,590,429,544,171,25,22,519,168
8600000US60012,60012,ZCTA5 60012,10653,552,10155,542,45,60,0,17,265,122,0,17,16,20,172,138,0,17,172,138
8600000US60013,60013,ZCTA5 60013,26166,591,24364,759,455,321,0,20,689,264,0,20,159,118,499,181,22,31,477,181
8600000US60014,60014,ZCTA5 60014,48553,935,45250,1110,683,361,39,54,1165,433,38,41,770,315,608,193,32,38,576,189
8600000US60015,60015,ZCTA5 60015,27357,421,24752,545,241,133,25,26,1902,542,0,20,141,77,296,134,14,16,282,132
8600000US60016,60016,ZCTA5 60016,59255,893,38454,1421,2544,569,230,99,14106,1007,44,48,2767,727,1110,325,288,160,822,295
8600000US60018,60018,ZCTA5 60018,30955,996,22678,1056,661,311,46,74,3040,399,11,16,3892,889,627,215,67,48,560,213
8600000US60020,60020,ZCTA5 60020,9761,522,9225,554,112,137,0,15,222,193,0,15,160,162,42,57,5,9,37,55
8600000US60021,60021,ZCTA5 60021,5547,314,4884,457,0,15,15,27,97,80,0,15,222,289,329,180,125,107,204,125
8600000US60022,60022,ZCTA5 60022,8563,115,7995,245,162,155,0,15,305,146,0,15,6,9,95,66,24,42,71,67
8600000US60025,60025,ZCTA5 60025,41054,948,34002,956,531,218,79,84,5310,531,0,23,350,186,782,176,85,46,697,168
8600000US60026,60026,ZCTA5 60026,14297,762,10656,684,164,125,0,17,3126,541,0,17,65,61,286,137,39,62,247,112
8600000US60029,60029,ZCTA5 60029,521,99,473,95,2,4,0,11,46,34,0,11,0,11,0,11,0,11,0,11
8600000US60030,60030,ZCTA5 60030,37185,771,32128,1069,929,357,17,26,2095,472,0,23,860,360,1156,294,166,110,990,267
8600000US60031,60031,ZCTA5 60031,37525,501,28018,795,2675,527,146,138,4159,464,0,23,964,290,1563,345,149,112,1414,333
8600000US60033,60033,ZCTA5 60033,13596,393,12723,536,20,21,10,17,0,17,17,26,595,414,231,161,42,38,189,142
8600000US60034,60034,ZCTA5 60034,2084,306,1914,295,23,36,0,11,8,11,0,11,99,132,40,53,1,5,39,52
8600000US60035,60035,ZCTA5 60035,29803,45,27482,490,440,173,17,30,811,247,0,20,550,340,503,186,29,41,474,184
8600000US60040,60040,ZCTA5 60040,5375,23,4550,367,138,92,27,43,131,87,0,15,459,345,70,65,0,15,70,65
8600000US60041,60041,ZCTA5 60041,8772,576,8212,551,31,39,0,15,80,79,137,155,264,258,48,54,15,23,33,48
8600000US60042,60042,ZCTA5 60042,8390,166,7875,310,49,44,0,15,114,67,0,15,85,67,267,217,41,43,226,210
8600000US60043,60043,ZCTA5 60043,2547,153,2384,167,16,26,0,11,92,60,0,11,0,11,55,40,0,11,55,40
8600000US60044,60044,ZCTA5 60044,9849,249,8556,287,124,78,0,15,863,167,0,15,70,62,236,126,9,14,227,124
8600000US60045,60045,ZCTA5 60045,20807,412,18684,368,336,154,4,8,1394,371,0,20,36,31,353,143,21,27,332,137
8600000US60046,60046,ZCTA5 60046,34918,515,31288,747,653,213,3,7,1643,376,0,23,475,265,856,233,109,90,747,226
8600000US60047,60047,ZCTA5 60047,42598,538,36006,906,698,286,5,8,4388,529,26,33,653,412,822,245,101,69,721,240
8600000US60048,60048,ZCTA5 60048,29012,425,26172,477,342,134,85,97,1864,315,0,20,113,77,436,129,105,59,331,104
8600000US60050,60050,ZCTA5 60050,32797,611,30822,757,203,103,108,96,707,355,0,23,529,234,428,240,151,138,277,184
8600000US60051,60051,ZCTA5 60051,23624,830,22041,859,215,174,0,20,410,239,0,20,460,313,498,243,151,106,347,213
8600000US60053,60053,ZCTA5 60053,23391,46,14761,679,794,455,0,20,6943,422,0,20,573,368,320,126,87,105,233,101
8600000US60056,60056,ZCTA5 60056,55221,427,42047,1295,1325,530,93,79,6918,685,34,39,3670,938,1134,376,230,179,904,362
8600000US60060,60060,ZCTA5 60060,37218,750,29729,1092,694,407,64,62,3620,565,33,51,2004,546,1074,304,423,217,651,225
8600000US60061,60061,ZCTA5 60061,27013,295,18697,923,814,594,9,17,5824,514,4,8,662,279,1003,278,114,86,889,252
8600000US60062,60062,ZCTA5 60062,40358,552,33039,805,679,254,30,46,5741,607,0,23,209,156,660,231,59,52,601,225
8600000US60064,60064,ZCTA5 60064,15816,565,6031,845,6542,722,52,75,319,112,7,13,2295,579,570,305,135,85,435,299
8600000US60067,60067,ZCTA5 60067,37817,990,29455,1207,753,292,52,54,5028,502,0,23,1235,448,1294,434,389,298,905,307
8600000US60068,60068,ZCTA5 60068,37810,312,34429,687,166,66,0,23,1850,436,109,160,524,265,732,291,121,163,611,216
8600000US60069,60069,ZCTA5 60069,7987,414,6964,431,83,78,0,15,781,170,0,15,17,21,142,93,11,17,131,92
8600000US60070,60070,ZCTA5 60070,16185,122,10443,782,222,151,25,38,1432,300,46,50,3817,816,200,144,152,137,48,51
8600000US60071,60071,ZCTA5 60071,3592,186,3293,230,49,55,37,45,68,72,6,10,15,15,124,99,0,11,124,99
8600000US60072,60072,ZCTA5 60072,979,236,917,223,14,15,0,11,41,58,0,11,0,11,7,9,0,11,7,9
8600000US60073,60073,ZCTA5 60073,61774,670,48512,1338,3318,629,214,175,3555,659,18,29,3935,827,2222,463,698,294,1524,388
8600000US60074,60074,ZCTA5 60074,39812,891,24338,1149,970,330,44,69,3851,737,0,23,9016,1139,1593,598,860,519,733,264
8600000US60076,60076,ZCTA5 60076,32093,1055,18507,939,2636,626,166,196,8628,689,38,55,439,254,1679,460,515,299,1164,383
8600000US60077,60077,ZCTA5 60077,28470,1088,17668,1098,1228,492,98,150,8122,798,0,20,386,220,968,351,109,104,859,373
8600000US60081,60081,ZCTA5 60081,9838,409,9658,424,0,15,0,15,44,43,0,15,38,39,98,101,0,15,98,101
8600000US60083,60083,ZCTA5 60083,10413,665,7273,619,1920,740,0,17,648,242,0,17,315,278,257,149,0,17,257,149
8600000US60084,60084,ZCTA5 60084,16832,605,14450,786,96,75,5,9,1012,440,0,17,987,418,282,195,146,174,136,82
8600000US60085,60085,ZCTA5 60085,71548,1282,41222,1980,12867,926,441,239,3951,536,43,52,10712,1321,2312,538,483,192,1829,494
8600000US60087,60087,ZCTA5 60087,26216,1506,16406,1333,3479,509,83,78,584,193,0,20,4528,1216,1136,314,323,205,813,251
8600000US60088,60088,ZCTA5 60088,12676,561,9189,811,1643,439,31,40,552,185,133,162,348,177,780,315,91,78,689,295
8600000US60089,60089,ZCTA5 60089,41601,124,30258,648,823,319,106,111,8604,533,0,23,934,265,876,306,85,65,791,296
8600000US60090,60090,ZCTA5 60090,38309,85,24447,1377,1210,418,161,166,6036,785,115,113,5518,1033,822,224,177,108,645,212
