GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
8600000US60002,60002,ZCTA5 60002,76694,4426
8600000US60004,60004,ZCTA5 60004,90000,3351
8600000US60005,60005,ZCTA5 60005,78053,5060
8600000US60007,60007,ZCTA5 60007,73026,4529
8600000US60008,60008,ZCTA5 60008,63358,3208
8600000US60010,60010,ZCTA5 60010,130748,5971
8600000US60012,60012,ZCTA5 60012,128844,7364
8600000US60013,60013,ZCTA5 60013,98459,4120
8600000US60014,60014,ZCTA5 60014,84478,3124
8600000US60015,60015,ZCTA5 60015,141268,6181
8600000US60016,60016,ZCTA5 60016,63829,2518
8600000US60018,60018,ZCTA5 60018,59758,2541
8600000US60020,60020,ZCTA5 60020,54026,5836
8600000US60021,60021,ZCTA5 60021,101182,11160
8600000US60022,60022,ZCTA5 60022,204118,35308
8600000US60025,60025,ZCTA5 60025,92410,4757
8600000US60026,60026,ZCTA5 60026,106283,10907
8600000US60029,60029,ZCTA5 60029,167813,28754
8600000US60030,60030,ZCTA5 60030,83680,3258
8600000US60031,60031,ZCTA5 60031,87828,4847
8600000US60033,60033,ZCTA5 60033,56329,4840
8600000US60034,60034,ZCTA5 60034,59732,8925
8600000US60035,60035,ZCTA5 60035,137413,7258
8600000US60040,60040,ZCTA5 60040,55427,10878
8600000US60041,60041,ZCTA5 60041,61023,9530
8600000US60042,60042,ZCTA5 60042,73257,4538
8600000US60043,60043,ZCTA5 60043,203750,39597
8600000US60044,60044,ZCTA5 60044,105331,8520
8600000US60045,60045,ZCTA5 60045,176108,12599
8600000US60046,60046,ZCTA5 60046,89592,4853
8600000US60047,60047,ZCTA5 60047,132803,6157
8600000US60048,60048,ZCTA5 60048,128657,6186
8600000US60050,60050,ZCTA5 60050,66771,6614
8600000US60051,60051,ZCTA5 60051,79741,4488
8600000US60053,60053,ZCTA5 60053,79978,3668
8600000US60056,60056,ZCTA5 60056,71064,3577
8600000US60060,60060,ZCTA5 60060,89214,5268
8600000US60061,60061,ZCTA5 60061,98803,9070
8600000US60062,60062,ZCTA5 60062,106197,3235
8600000US60064,60064,ZCTA5 60064,34840,3844
8600000US60067,60067,ZCTA5 60067,97549,6215
8600000US60068,60068,ZCTA5 60068,98219,5138
8600000US60069,60069,ZCTA5 60069,101273,7800
8600000US60070,60070,ZCTA5 60070,60970,7843
8600000US60071,60071,ZCTA5 60071,58902,9370
8600000US60072,60072,ZCTA5 60072,113929,18426
8600000US60073,60073,ZCTA5 60073,68991,2143
8600000US60074,60074,ZCTA5 60074,66774,2346
8600000US60076,60076,ZCTA5 60076,74964,7217
8600000US60077,60077,ZCTA5 60077,60381,5298
8600000US60081,60081,ZCTA5 60081,90917,7901
8600000US60083,60083,ZCTA5 60083,92522,8816
8600000US60084,60084,ZCTA5 60084,77105,4246
8600000US60085,60085,ZCTA5 60085,43370,2636
8600000US60087,60087,ZCTA5 60087,56920,5622
8600000US60088,60088,ZCTA5 60088,53333,11482
8600000US60089,60089,ZCTA5 60089,106630,3099
8600000US60090,60090,ZCTA5 60090,62478,2692
8600000US60091,60091,ZCTA5 60091,148462,12429
8600000US60093,60093,ZCTA5 60093,173919,14664
8600000US60096,60096,ZCTA5 60096,83267,8043
8600000US60097,60097,ZCTA5 60097,64688,11203
8600000US60098,60098,ZCTA5 60098,63864,3573
8600000US60099,60099,ZCTA5 60099,50652,4516
8600000US60101,60101,ZCTA5 60101,59411,4055
8600000US60102,60102,ZCTA5 60102,101946,4704
8600000US60103,60103,ZCTA5 60103,100994,5599
8600000US60104,60104,ZCTA5 60104,55471,4797
8600000US60106,60106,ZCTA5 60106,62604,4136
8600000US60107,60107,ZCTA5 60107,80421,4180
8600000US60108,60108,ZCTA5 60108,79126,5703
8600000US60109,60109,ZCTA5 60109,74688,38692
