GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
310M300US10100,10100,"Aberdeen, SD Micro Area",42608,*****
310M300US10140,10140,"Aberdeen, WA Micro Area",71454,*****
310M300US10180,10180,"Abilene, TX Metro Area",169000,*****
310M300US10220,10220,"Ada, OK Micro Area",38289,*****
310M300US10260,10260,"Adjuntas, PR Micro Area",18525,*****
310M300US10300,10300,"Adrian, MI Micro Area",98585,*****
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",315100,*****
310M300US10420,10420,"Akron, OH Metro Area",703398,*****
310M300US10460,10460,"Alamogordo, NM Micro Area",65130,*****
310M300US10500,10500,"Albany, GA Metro Area",153776,*****
310M300US10540,10540,"Albany, OR Metro Area",121074,*****
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,*****
310M300US10620,10620,"Albemarle, NC Micro Area",60875,*****
310M300US10660,10660,"Albert Lea, MN Micro Area",30619,*****
310M300US10700,10700,"Albertville, AL Micro Area",94738,*****
310M300US10740,10740,"Albuquerque, NM Metro Area",905049,*****
310M300US10760,10760,"Alexander City, AL Micro Area",40756,*****
310M300US10780,10780,"Alexandria, LA Metro Area",154385,*****
310M300US10820,10820,"Alexandria, MN Micro Area",36891,*****
310M300US10860,10860,"Alice, TX Micro Area",41318,*****
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,*****
310M300US10940,10940,"Alma, MI Micro Area",41319,*****
310M300US10980,10980,"Alpena, MI Micro Area",28730,*****
310M300US11020,11020,"Altoona, PA Metro Area",124736,*****
310M300US11060,11060,"Altus, OK Micro Area",25574,*****
310M300US11100,11100,"Amarillo, TX Metro Area",261827,117
310M300US11140,11140,"Americus, GA Micro Area",35855,*****
310M300US11180,11180,"Ames, IA Metro Area",95888,*****
310M300US11220,11220,"Amsterdam, NY Micro Area",49500,*****
310M300US11260,11260,"Anchorage, AK Metro Area",399360,*****
310M300US11380,11380,"Andrews, TX Micro Area",17577,*****
310M300US11420,11420,"Angola, IN Micro Area",34459,*****
310M300US11460,11460,"Ann Arbor, MI Metro Area",361509,*****
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115527,*****
310M300US11540,11540,"Appleton, WI Metro Area",233025,*****
310M300US11580,11580,"Arcadia, FL Micro Area",35675,*****
310M300US11620,11620,"Ardmore, OK Micro Area",48407,*****
310M300US11640,11640,"Arecibo, PR Metro Area",188012,*****
310M300US11660,11660,"Arkadelphia, AR Micro Area",22495,*****
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",35732,*****
310M300US11700,11700,"Asheville, NC Metro Area",445625,*****
310M300US11740,11740,"Ashland, OH Micro Area",53299,*****
310M300US11780,11780,"Ashtabula, OH Micro Area",98622,*****
310M300US11820,11820,"Astoria, OR Micro Area",38021,*****
310M300US11860,11860,"Atchison, KS Micro Area",16466,*****
310M300US11900,11900,"Athens, OH Micro Area",65563,*****
310M300US11940,11940,"Athens, TN Micro Area",52569,*****
310M300US11980,11980,"Athens, TX Micro Area",79687,*****
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",202780,*****
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5700990,*****
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",272926,*****
310M300US12120,12120,"Atmore, AL Micro Area",37621,*****
310M300US12140,12140,"Auburn, IN Micro Area",42524,*****
310M300US12180,12180,"Auburn, NY Micro Area",78319,*****
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",156597,*****
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",589519,*****
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",121289,*****
310M300US12380,12380,"Austin, MN Micro Area",39386,*****
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",2000590,*****
310M300US12460,12460,"Bainbridge, GA Micro Area",27023,*****
310M300US12540,12540,"Bakersfield, CA Metro Area",878744,*****
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2792050,*****
310M300US12620,12620,"Bangor, ME Metro Area",152284,*****
310M300US12660,12660,"Baraboo, WI Micro Area",63340,*****
310M300US12680,12680,"Bardstown, KY Micro Area",45131,*****
310M300US12700,12700,"Barnstable Town, MA Metro Area",213900,*****
310M300US12740,12740,"Barre, VT Micro Area",58691,*****
310M300US12780,12780,"Bartlesville, OK Micro Area",51867,*****
310M300US12820,12820,"Bastrop, LA Micro Area",26290,*****
310M300US12860,12860,"Batavia, NY Micro Area",58537,*****
310M300US12900,12900,"Batesville, AR Micro Area",37097,*****
310M300US12940,12940,"Baton Rouge, LA Metro Area",828741,*****
310M300US12980,12980,"Battle Creek, MI Metro Area",134327,*****
310M300US13020,13020,"Bay City, MI Metro Area",105350,*****
310M300US13060,13060,"Bay City, TX Micro Area",36744,*****
310M300US13100,13100,"Beatrice, NE Micro Area",21632,*****
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",408663,*****
310M300US13180,13180,"Beaver Dam, WI Micro Area",87833,*****
310M300US13220,13220,"Beckley, WV Metro Area",121699,*****
310M300US13260,13260,"Bedford, IN Micro Area",45669,*****
310M300US13300,13300,"Beeville, TX Micro Area",32729,*****
310M300US13340,13340,"Bellefontaine, OH Micro Area",45323,*****
310M300US13380,13380,"Bellingham, WA Metro Area",212738,*****
310M300US13420,13420,"Bemidji, MN Micro Area",45847,*****
310M300US13460,13460,"Bend-Redmond, OR Metro Area",175321,*****
310M300US13500,13500,"Bennettsville, SC Micro Area",27505,*****
310M300US13540,13540,"Bennington, VT Micro Area",36054,*****
310M300US13620,13620,"Berlin, NH-VT Micro Area",38322,*****
310M300US13660,13660,"Big Rapids, MI Micro Area",43181,*****
310M300US13700,13700,"Big Spring, TX Micro Area",37911,123
310M300US13720,13720,"Big Stone Gap, VA Micro Area",58763,*****
310M300US13740,13740,"Billings, MT Metro Area",167545,101
310M300US13780,13780,"Binghamton, NY Metro Area",245446,*****
