GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US10100,10100,"Aberdeen, SD Micro Area",42608,*****,39040,100,631,112,1330,188,992,37,0,20,37,35,578,231,30,45,548,230
310M300US10140,10140,"Aberdeen, WA Micro Area",71454,*****,62880,316,717,105,3332,250,1144,153,227,60,415,146,2739,334,115,88,2624,324
310M300US10180,10180,"Abilene, TX Metro Area",169000,*****,131890,1184,13529,447,1369,309,2764,199,73,74,14350,1133,5025,599,1389,346,3636,489
310M300US10220,10220,"Ada, OK Micro Area",38289,*****,26813,135,829,98,3359,316,298,92,30,30,211,90,6749,360,90,45,6659,357
310M300US10260,10260,"Adjuntas, PR Micro Area",18525,*****,14396,594,120,87,17,20,0,21,0,21,3857,575,135,153,21,24,114,147
310M300US10300,10300,"Adrian, MI Micro Area",98585,*****,91353,386,2649,288,449,129,268,52,65,59,1209,351,2592,274,391,136,2201,233
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",315100,*****,220100,3602,9316,1029,388,209,1058,357,11,16,58514,3078,25713,2085,1121,429,24592,2078
310M300US10420,10420,"Akron, OH Metro Area",703398,*****,575891,662,85030,1145,1362,288,19182,588,128,52,3110,547,18695,1309,838,306,17857,1247
310M300US10460,10460,"Alamogordo, NM Micro Area",65130,*****,50892,1069,2199,219,4399,274,876,212,82,65,4242,985,2440,476,667,296,1773,399
310M300US10500,10500,"Albany, GA Metro Area",153776,*****,66431,469,81244,689,374,217,1607,150,66,51,1317,385,2737,685,180,121,2557,672
310M300US10540,10540,"Albany, OR Metro Area",121074,*****,111010,731,465,158,1269,270,1501,166,126,61,2503,666,4200,447,458,255,3742,372
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,*****,735020,1235,68660,1424,1649,331,37761,793,244,121,12285,1205,26243,1220,3107,632,23136,1116
310M300US10620,10620,"Albemarle, NC Micro Area",60875,*****,51213,280,6784,236,213,84,1166,77,10,16,535,281,954,244,55,68,899,238
310M300US10660,10660,"Albert Lea, MN Micro Area",30619,*****,28851,188,407,68,104,65,574,78,14,18,287,163,382,103,54,48,328,84
310M300US10700,10700,"Albertville, AL Micro Area",94738,*****,87765,749,2091,158,654,327,534,92,48,36,1891,658,1755,262,274,157,1481,209
310M300US10740,10740,"Albuquerque, NM Metro Area",905049,*****,672071,5023,23443,796,52570,1318,19411,772,729,196,99896,4650,36929,1715,13834,1139,23095,1464
310M300US10760,10760,"Alexander City, AL Micro Area",40756,*****,28455,276,11216,200,176,59,160,105,0,24,430,306,319,201,21,36,298,194
310M300US10780,10780,"Alexandria, LA Metro Area",154385,*****,101858,283,45699,331,1154,189,2126,160,7,13,793,203,2748,360,543,207,2205,352
310M300US10820,10820,"Alexandria, MN Micro Area",36891,*****,35839,118,245,80,149,48,37,25,0,18,201,98,420,82,6,6,414,81
310M300US10860,10860,"Alice, TX Micro Area",41318,*****,39731,361,246,106,100,81,237,151,48,63,796,331,160,110,56,68,104,89
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,*****,700165,2530,46910,1506,2071,572,23664,531,193,173,36675,2156,23112,1610,3497,505,19615,1508
310M300US10940,10940,"Alma, MI Micro Area",41319,*****,37711,141,2388,129,180,82,142,52,14,22,114,50,770,147,133,44,637,146
310M300US10980,10980,"Alpena, MI Micro Area",28730,*****,27816,57,170,39,129,56,143,52,27,28,24,21,421,87,38,22,383,86
310M300US11020,11020,"Altoona, PA Metro Area",124736,*****,119348,239,1862,205,26,34,872,137,45,63,429,223,2154,256,100,75,2054,243
310M300US11060,11060,"Altus, OK Micro Area",25574,*****,17710,319,1861,138,495,111,348,67,0,17,3391,372,1769,307,647,197,1122,220
310M300US11100,11100,"Amarillo, TX Metro Area",261827,117,221660,1207,15647,581,1281,215,8369,362,229,87,6118,894,8523,943,1744,324,6779,877
310M300US11140,11140,"Americus, GA Micro Area",35855,*****,16531,380,17533,326,27,34,344,94,0,27,774,249,646,260,168,109,478,235
310M300US11180,11180,"Ames, IA Metro Area",95888,*****,83487,199,1835,268,278,68,7026,381,39,51,474,172,2749,512,115,73,2634,506
310M300US11220,11220,"Amsterdam, NY Micro Area",49500,*****,43680,387,887,230,41,30,381,63,0,24,2738,455,1773,307,483,181,1290,211
310M300US11260,11260,"Anchorage, AK Metro Area",399360,*****,273964,1166,17473,673,26875,1263,29128,821,7265,286,7064,967,37591,1890,2123,606,35468,1674
310M300US11380,11380,"Andrews, TX Micro Area",17577,*****,16134,307,367,231,16,29,37,63,9,19,687,307,327,157,32,42,295,150
310M300US11420,11420,"Angola, IN Micro Area",34459,*****,33515,67,82,48,25,17,165,61,11,19,73,58,588,85,4,9,584,86
310M300US11460,11460,"Ann Arbor, MI Metro Area",361509,*****,267225,595,42966,924,1214,389,31505,500,151,67,2651,414,15797,1139,846,251,14951,1140
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115527,*****,86136,496,23735,499,413,280,1149,130,7,12,1456,454,2631,489,119,115,2512,471
310M300US11540,11540,"Appleton, WI Metro Area",233025,*****,211909,573,2717,254,3313,231,7305,319,35,26,4208,583,3538,514,280,120,3258,498
310M300US11580,11580,"Arcadia, FL Micro Area",35675,*****,29791,344,4572,112,106,91,60,67,41,47,692,315,413,127,110,120,303,101
310M300US11620,11620,"Ardmore, OK Micro Area",48407,*****,35899,258,3080,157,3644,327,536,78,6,7,1093,250,4149,389,212,87,3937,395
310M300US11640,11640,"Arecibo, PR Metro Area",188012,*****,162104,1690,5955,848,441,219,758,272,0,32,16547,1358,2207,601,1036,372,1171,400
310M300US11660,11660,"Arkadelphia, AR Micro Area",22495,*****,16186,188,5368,88,74,48,157,18,0,21,369,184,341,90,11,20,330,95
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",35732,*****,31510,328,1077,201,708,130,572,72,28,37,474,237,1363,241,107,112,1256,212
310M300US11700,11700,"Asheville, NC Metro Area",445625,*****,403661,1299,20761,1010,1627,282,4916,345,365,146,5390,1153,8905,999,1102,429,7803,841
310M300US11740,11740,"Ashland, OH Micro Area",53299,*****,51640,119,421,86,7,11,325,84,0,27,211,117,695,121,21,26,674,118
310M300US11780,11780,"Ashtabula, OH Micro Area",98622,*****,91628,316,3607,320,189,96,479,72,41,46,403,251,2275,343,179,138,2096,284
310M300US11820,11820,"Astoria, OR Micro Area",38021,*****,34512,285,295,83,238,136,356,106,125,33,793,286,1702,223,174,96,1528,205
310M300US11860,11860,"Atchison, KS Micro Area",16466,*****,14922,62,510,193,82,57,55,38,9,12,37,25,851,214,26,24,825,216
310M300US11900,11900,"Athens, OH Micro Area",65563,*****,59620,198,1691,129,197,241,1875,215,48,53,322,165,1810,238,35,36,1775,245
310M300US11940,11940,"Athens, TN Micro Area",52569,*****,48627,208,1875,161,117,76,302,129,28,35,417,204,1203,228,55,97,1148,209
310M300US11980,11980,"Athens, TX Micro Area",79687,*****,71083,505,5466,304,782,158,528,38,53,51,983,396,792,243,124,94,668,210
